2006-10-22,Quebec,S16,04,17,4
2005-09-13,Livingston,S10,04,19,4
2008-12-20,Livingston,S10,04,19,4
2009-01-05,Livingston,S12,03,19,2.6
2007-12-15,Westconvina,S06,01,19,2.5
2006-05-25,Alberta,S06,01,19,2.5
2010-11-04,California,S02,01,19,2.5
2007-08-06,Westconvina,S17,02,19,1.8
2006-06-29,Westconvina,S11,04,19,4
2007-08-29,Ontario,S12,03,19,2.6
2009-12-28,Westconvina,S09,02,19,1.8
2007-09-02,Livingston,S04,01,19,2.5
2007-02-13,Alberta,S16,06,19,1.4
2010-09-19,Westconvina,S07,03,19,2.6
2006-10-09,California,S01,04,20,4.5
2005-04-17,Quebec,S15,06,20,1.4
2005-10-27,New York,S15,05,20,3.3
2007-07-05,Quebec,S08,05,20,3.3
2005-01-12,Ontario,S14,03,20,2.6
2005-04-26,Livingston,S01,03,20,2.6
2005-02-04,New York,S10,06,20,1.4
2008-01-12,Livingston,S08,01,20,2.5
2008-05-24,Chicago,S13,04,20,4.5
2006-05-25,New York,S13,04,20,4.5
2008-02-11,Alberta,S09,02,20,1.8
2008-12-21,Livingston,S09,03,20,2.6
2006-07-22,Westconvina,S14,05,20,3.3
2010-01-18,Livingston,S04,02,20,1.8
2005-12-28,Westconvina,S13,07,20,2.8
2006-07-03,Livingston,S03,05,20,3.3
2007-04-18,Chicago,S05,01,20,2.5
2007-12-03,Livingston,S12,04,20,4.5
2010-09-16,Alberta,S04,07,20,2.8
2007-11-15,Westconvina,S10,01,1,2.5
2007-01-19,Alberta,S05,02,1,1.8
2008-01-28,Alberta,S15,02,1,1.8
2005-04-11,Alberta,S10,06,1,1.4
2009-04-29,New York,S12,02,1,1.8
2008-01-12,Ontario,S04,07,1,2.8
2009-02-21,New York,S06,06,1,1.4
2007-05-20,Alberta,S11,04,1,4.5
2010-01-30,New York,S03,01,1,2.5
2007-07-05,Quebec,S02,05,1,3.3
2009-03-19,Alberta,S10,01,1,2.5
2008-07-25,Quebec,S17,02,1,1.8
2009-08-02,Ontario,S16,06,1,1.4
2010-12-18,Westconvina,S14,05,1,3.3
2010-04-29,New York,S04,03,1,2.6
2006-01-27,Livingston,S18,01,1,2.5
2009-01-12,California,S15,04,1,4.5
2005-01-01,Livingston,S08,01,1,2.5
2007-02-06,Chicago,S09,02,1,1.8
2009-12-03,California,S12,06,1,1.4
2005-01-31,Livingston,S15,04,1,4.5
2006-10-17,Westconvina,S02,05,1,3.3
